Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Mali,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Mali,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647,2.11087,Africa,2019,0.0,29
Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196,3.01402,Africa,2019,0.0,33
Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Sri Lanka,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964,0.91681,Asia,2019,0.0,38
Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Myanmar,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243,1.50655,Asia,2019,0.0,29
Chad,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Chad,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952,2.30637,Africa,2019,0.0,20
Ukraine,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,1.50066,Europe,2019,0.0,30
Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Ethiopia,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,2.65614,Africa,2019,0.0,37
Uganda,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Uganda,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442,1.51416,Africa,2019,0.0,28
Egypt,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Egypt,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393,1.96895,Africa,2019,0.0,35
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Zambia,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,2.58991,Africa,2019,0.0,34
Togo,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Togo,3.303,0.28123,0.0,0.24811,0.34678,0.17517,0.11587,2.1354,Africa,2019,0.0,29
India,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,India,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,2.18032,Asia,2019,0.0,41
Liberia,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852,2.23284,Africa,2019,0.0,28
Madagascar,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506,2.15075,Africa,2019,0.0,24
Burundi,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419,2.10404,Africa,2019,0.0,19
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Zimbabwe,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582,2.4427,Africa,2019,0.0,24
Haiti,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Haiti,4.028,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476,2.37116,South America,2019,0.0,18
Botswana,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Botswana,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769,0.96741,Africa,2019,0.0,61
Malawi,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Malawi,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564,2.82859,Africa,2019,0.0,31
Yemen,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Yemen,3.724,0.57939,0.47493,0.31048,0.2287,0.09821,0.05892,1.97295,Asia,2019,0.0,15
Rwanda,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Rwanda,3.515,0.32846,0.61586,0.31865,0.5432,0.23552,0.50521,0.96819,Africa,2019,0.0,53
Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Tanzania,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099,1.37769,Africa,2019,0.0,37
Afghanistan,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025,Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112,2.14558,Asia,2019,0.0,16
